epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.161,2.6245,3.95309,2.22409,0.11106,0.12162,0.03267,0.01207,3.20155,6.13874,2.6315,0.0679708,0.00125442,0.00125442
2,861.399,2.56508,3.72683,2.17365,0.3915,0.36049,0.31988,0.1606,2.49093,4.45112,2.21012,0.0358695,0.00248637,0.00248637
3,1227.97,2.40443,3.37529,2.0693,0.51313,0.38499,0.41993,0.2258,2.28148,2.9836,2.06233,0.00374368,0.00369393,0.00369393
4,1629.29,2.29553,3.03126,1.97913,0.64041,0.56298,0.59418,0.32571,2.21851,2.54556,1.9541,0.0036592,0.0036592,0.0036592
5,2077.34,2.24412,2.82513,1.94241,0.72158,0.61042,0.70053,0.39817,2.11733,2.1219,1.8627,0.00362264,0.00362264,0.00362264
6,2535.81,2.17399,2.689,1.9096,0.72131,0.57051,0.67309,0.38514,2.02108,2.12049,1.83959,0.00358607,0.00358607,0.00358607
7,2979.43,2.12068,2.55479,1.86892,0.78803,0.61627,0.70863,0.43098,1.9664,1.98975,1.79208,0.00354951,0.00354951,0.00354951
8,3429.42,2.07493,2.42386,1.8348,0.79428,0.67474,0.76514,0.46571,1.95554,1.7847,1.7542,0.00351294,0.00351294,0.00351294
9,3864.89,2.04556,2.32362,1.80285,0.76798,0.65628,0.73078,0.42606,1.96899,1.90707,1.7469,0.00347638,0.00347638,0.00347638
10,4294.79,2.01442,2.28807,1.78291,0.82039,0.68826,0.7819,0.47406,1.93774,1.77877,1.73656,0.00343981,0.00343981,0.00343981
11,4719.51,1.99767,2.1845,1.76134,0.81292,0.71725,0.79941,0.48676,1.87711,1.70947,1.68079,0.00340325,0.00340325,0.00340325
12,5164.64,1.9342,2.10027,1.71727,0.84872,0.68085,0.7893,0.48034,1.92412,1.65967,1.69093,0.00336668,0.00336668,0.00336668
13,5584.22,1.9368,2.07589,1.72815,0.84402,0.72575,0.81877,0.51532,1.80131,1.56834,1.60092,0.00333012,0.00333012,0.00333012
14,6158.78,1.91572,1.99195,1.70886,0.83543,0.73623,0.82701,0.53836,1.77277,1.47069,1.62776,0.00329355,0.00329355,0.00329355
15,6565.65,1.90792,1.98123,1.6994,0.85353,0.76073,0.84307,0.54546,1.76467,1.43662,1.59872,0.00325699,0.00325699,0.00325699
16,6983.26,1.87801,1.94788,1.68331,0.87548,0.75822,0.85233,0.53648,1.80968,1.36854,1.61277,0.00322042,0.00322042,0.00322042
17,7536.17,1.87292,1.91626,1.68234,0.83602,0.76218,0.85442,0.55411,1.73771,1.3886,1.59055,0.00318386,0.00318386,0.00318386
18,7877.47,1.85067,1.84763,1.66233,0.87478,0.76069,0.85133,0.55965,1.72117,1.35559,1.59741,0.00314729,0.00314729,0.00314729
